player_id,player,app_name,developer,source_type,data_source,credentialed,source_date,downloads_30d,downloads_90d,downloads_365d,revenue_30d,revenue_90d,revenue_365d,website_visits_30d,rank_current,rank_30d_avg,rating,review_count,review_velocity_90d,top_countries,notes
simply,Simply,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
ultimate-guitar,Ultimate Guitar,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
fender-play,Fender Play,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
flowkey,Flowkey,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
skoove,Skoove,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
justinguitar,JustinGuitar,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
artie-piano,Artie Piano,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
fender,Fender,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
yamaha,Yamaha,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
thomann,Thomann,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
sweetwater,Sweetwater,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
bandlab,BandLab,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
musescore,MuseScore,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
songsterr,Songsterr,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
splice,Splice,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
ableton,Ableton,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
suno,Suno,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
udio,Udio,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
moises,Moises,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
duolingo,Duolingo,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
kahoot,Kahoot,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
brilliant,Brilliant,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
marty-music,Marty Music,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
berklee-online,Berklee Online,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
mtna,MTNA,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
rsi,Rousseau,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
apple-garageband,GarageBand,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
accel,Accel,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
techcrunch,TechCrunch,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
bett-awards,BETT Awards,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
creative-europe,Creative Europe,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
guitar-tricks,Guitar Tricks,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
truefire,TrueFire,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
pickup-music,Pickup Music,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
rocksmith-plus,Rocksmith+,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
gibson-app,Gibson App,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
piano-marvel,Piano Marvel,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
melodics,Melodics,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
chordify,Chordify,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
soundslice,Soundslice,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
guitar-pro,Guitar Pro,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
youtube-artists,YouTube,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
gibson,Gibson,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
positive-grid,Positive Grid,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
reverb,Reverb,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
guitar-center,Guitar Center,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
boss,BOSS / Roland,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
soundtrap,Soundtrap,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
fl-studio,FL Studio,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
soundcloud,SoundCloud,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
distrokid,DistroKid,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
landr,LANDR,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
native-instruments,Native Instruments,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
bandcamp,Bandcamp,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
lalal-ai,LALAL.AI,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
aiva,AIVA,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
elevenlabs-music,ElevenLabs Music,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
tonebase,tonebase,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
artistworks,ArtistWorks,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
spotify-artists,Spotify for Artists,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
tiktok-artists,TikTok for Artists,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
patreon,Patreon,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
musora,Musora,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
fretello,Fretello,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
